transect_id,gis,dune_vintage,dune_chainage_m,n_crossings,shoreline_chainage_m,beach_width_m
usa_NC_0032_0153,14,2023,10.79,1,86.33,75.54
usa_NC_0032_0154,14,1997,13.32,1,50.84,37.52
usa_NC_0032_0154,14,2009,-14.22,1,41.17,55.39
usa_NC_0032_0154,14,2023,9.07,1,84.45,75.37
usa_NC_0032_0155,14,1997,12.75,1,47.96,35.21
usa_NC_0032_0155,14,2009,-14.49,1,44.45,58.94
usa_NC_0032_0155,14,2023,8.10,1,83.82,75.72
usa_NC_0032_0156,15,1997,11.97,1,45.66,33.69
usa_NC_0032_0156,15,2009,-21.61,1,44.90,66.51
usa_NC_0032_0156,15,2023,5.51,1,79.76,74.26
usa_NC_0032_0157,15,1997,11.53,1,43.24,31.71
usa_NC_0032_0157,15,2009,-24.34,1,46.14,70.48
usa_NC_0032_0157,15,2023,7.23,1,78.69,71.46
usa_NC_0032_0158,15,1997,9.39,1,51.17,41.79
usa_NC_0032_0158,15,2009,-22.00,1,45.88,67.88
usa_NC_0032_0158,15,2023,8.64,1,79.64,71.00
usa_NC_0032_0159,15,1997,10.96,1,56.27,45.31
usa_NC_0032_0159,15,2009,-13.72,1,49.60,63.32
usa_NC_0032_0159,15,2023,10.67,1,83.65,72.99
usa_NC_0032_0160,15,1997,3.25,1,47.66,44.41
usa_NC_0032_0160,15,2009,-15.63,1,50.33,65.97
usa_NC_0032_0160,15,2023,0.67,1,79.58,78.91
usa_NC_0032_0161,15,1997,-1.73,1,42.52,44.25
usa_NC_0032_0161,15,2009,-14.97,1,46.80,61.77
usa_NC_0032_0161,15,2023,6.19,1,75.15,68.96
usa_NC_0032_0162,15,1997,-4.86,1,36.32,41.18
usa_NC_0032_0162,15,2009,-9.94,1,47.74,57.68
usa_NC_0032_0162,15,2023,5.97,1,68.45,62.47
usa_NC_0032_0163,15,1997,3.39,1,41.06,37.67
usa_NC_0032_0163,15,2009,-0.31,1,54.26,54.57
usa_NC_0032_0163,15,2023,11.38,1,72.18,60.81
usa_NC_0032_0164,15,1997,-9.64,1,31.93,41.57
usa_NC_0032_0164,15,2009,-3.66,1,48.98,52.64
usa_NC_0032_0164,15,2023,3.53,1,64.39,60.85
usa_NC_0032_0165,15,1997,-10.90,1,26.58,37.48
usa_NC_0032_0165,15,2009,-2.72,1,50.94,53.66
usa_NC_0032_0165,15,2023,-0.02,1,63.07,63.09
usa_NC_0032_0166,16,1997,-11.34,1,26.50,37.84
