year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,34,Avon-Tri-Village / Wimble Shoals,310.0,410.0,339.0,-100.0,71.0,-29.0,1145.0,0.025327510917030567,0.333,0.41,
1984,35,Avon-Tri-Village / Wimble Shoals,400.0,430.0,354.0,-30.0,76.0,46.0,1240.0,0.037096774193548385,0.331,0.403,SCATTER_SETBACK(41m)
1984,36,Avon-Tri-Village / Wimble Shoals,370.0,410.0,344.0,-40.0,66.0,26.0,1120.0,0.023214285714285715,0.339,0.407,
1984,37,Avon-Tri-Village / Wimble Shoals,335.0,380.0,342.0,-45.0,38.0,-7.0,1270.0,0.005511811023622047,0.481,0.504,
1984,38,Avon-Tri-Village / Wimble Shoals,300.0,320.0,290.0,-20.0,30.0,10.0,1570.0,0.006369426751592357,0.589,0.625,SCATTER_SETBACK(50m)
1984,39,Avon-Tri-Village / Wimble Shoals,230.0,290.0,242.0,-60.0,48.0,-12.0,1605.0,0.007476635514018692,1.041,0.776,
1984,40,Avon-Tri-Village / Wimble Shoals,210.0,280.0,234.0,-70.0,46.0,-24.0,1670.0,0.01437125748502994,1.137,0.904,
1984,41,Avon-Tri-Village / Wimble Shoals,200.0,250.0,217.0,-50.0,33.0,-17.0,1730.0,0.009826589595375723,1.084,0.818,
1984,42,Avon-Tri-Village / Wimble Shoals,180.0,250.0,189.0,-70.0,61.0,-9.0,1750.0,0.005142857142857143,0.956,0.686,
1984,43,Avon-Tri-Village / Wimble Shoals,170.0,nan,186.0,nan,nan,-16.0,1780.0,0.008988764044943821,0.79,0.569,
1984,44,Avon-Tri-Village / Wimble Shoals,160.0,280.0,191.0,-120.0,89.0,-31.0,1670.0,0.018562874251497007,0.868,0.583,
1984,45,Avon-Tri-Village / Wimble Shoals,155.0,nan,192.0,nan,nan,-37.0,1320.0,0.02803030303030303,1.054,0.764,
1984,46,Avon-Tri-Village / Wimble Shoals,150.0,nan,184.0,nan,nan,-34.0,1315.0,0.02585551330798479,1.181,0.905,SCATTER_SETBACK(50m)
1984,47,Avon-Tri-Village / Wimble Shoals,150.0,nan,184.0,nan,nan,-34.0,1110.0,0.03063063063063063,1.14,0.873,
1984,48,Avon-Tri-Village / Wimble Shoals,150.0,nan,191.0,nan,nan,-41.0,1145.0,0.03580786026200873,1.166,0.937,
1984,49,Avon-Tri-Village / Wimble Shoals,130.0,160.0,188.0,-30.0,-28.0,-58.0,910.0,0.06373626373626373,1.157,0.942,
1984,50,Avon-Tri-Village / Wimble Shoals,150.0,150.0,197.0,0.0,-47.0,-47.0,510.0,0.09215686274509804,1.066,0.835,
1984,51,Avon-Tri-Village / Wimble Shoals,160.0,nan,212.0,nan,nan,-52.0,505.0,0.10297029702970296,1.084,0.817,SCATTER_SETBACK(50m)
1984,52,Avon-Tri-Village / Wimble Shoals,170.0,170.0,200.0,0.0,-30.0,-30.0,555.0,0.05405405405405406,0.803,0.575,
